obj_id,class_id
0,0
1,0
2,0
3,0
4,0
6,0
7,0
8,0
9,0
10,0
12,0
13,0
14,0
16,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
31,0
32,0
34,0
38,0
39,0
40,0
41,0
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
56,1
58,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
93,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
106,1
109,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
122,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
134,1
135,1
137,1
138,1
139,1
140,1
142,1
144,1
145,1
146,1
147,1
148,1
150,1
151,1
152,1
154,1
156,1
157,1
158,1
160,1
161,1
162,1
164,1
165,1
166,1
167,1
168,1
170,1
171,1
172,1
173,1
175,1
176,1
177,1
179,1
180,1
182,1
183,1
184,1
186,1
188,1
189,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
214,1
215,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
229,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
241,1
242,1
243,1
244,1
245,1
246,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
274,1
275,1
277,1
278,1
279,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
307,1
308,1
309,1
310,1
311,1
312,1
314,1
315,1
316,1
317,1
318,1
320,1
321,1
322,1
323,1
324,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
353,1
354,1
358,1
359,1
360,1
361,1
362,2
363,2
364,2
365,2
367,2
368,2
371,2
372,2
373,2
374,2
375,2
376,2
378,3
379,3
380,3
381,3
382,4
384,4
385,4
386,4
387,4
388,4
390,4
391,4
392,4
393,4
394,4
396,4
397,4
398,4
400,4
401,4
402,4
403,4
404,4
405,4
406,4
407,4
408,4
410,4
412,4
413,4
414,4
416,4
418,4
419,4
420,5
421,5
422,5
423,5
424,5
425,5
426,5
427,5
428,5
429,5
430,5
432,5
435,5
436,5
437,5
438,5
440,5
442,5
444,5
445,5
446,5
447,5
